# rank, time, memory kiB
6, 1.53567442860007906e+09, 187304
6, 1.53567442910026193e+09, 187304
6, 1.53567442960046291e+09, 187304
6, 1.53567443010064292e+09, 187304
6, 1.53567443060084391e+09, 187304
6, 1.53567443110102391e+09, 187304
6, 1.53567443160123801e+09, 187304
6, 1.53567443210146999e+09, 187304
6, 1.53567443260170293e+09, 187304
6, 1.53567443310189009e+09, 187304
6, 1.53567443360209107e+09, 187304
6, 1.53567443410227394e+09, 187304
6, 1.53567443460246897e+09, 187304
6, 1.53567443510265493e+09, 187304
6, 1.53567443560285497e+09, 187304
6, 1.53567443610304689e+09, 187304
6, 1.53567443660326004e+09, 187304
6, 1.53567443710348296e+09, 187304
6, 1.53567443760370708e+09, 187304
6, 1.53567443810391688e+09, 187304
6, 1.53567443860411191e+09, 187304
6, 1.53567443910429406e+09, 187304
6, 1.53567443960449910e+09, 187304
6, 1.53567444010468102e+09, 187304
6, 1.53567444060488296e+09, 187304
6, 1.53567444110506701e+09, 187304
6, 1.53567444160528111e+09, 187304
6, 1.53567444210551500e+09, 187568
6, 1.53567444260574293e+09, 187568
6, 1.53567444310593104e+09, 187568
6, 1.53567444360613394e+09, 187568
6, 1.53567444410631704e+09, 187568
6, 1.53567444460651898e+09, 187568
6, 1.53567444510670495e+09, 187568
6, 1.53567444560690904e+09, 187568
6, 1.53567444610710311e+09, 187568
6, 1.53567444660733199e+09, 176128
7, 1.53567439557239699e+09, 45176
7, 1.53567439608672905e+09, 45200
7, 1.53567439658691907e+09, 45200
7, 1.53567439708710599e+09, 45200
7, 1.53567439758728909e+09, 45200
7, 1.53567439808747292e+09, 45200
7, 1.53567439858765507e+09, 45200
7, 1.53567439908783793e+09, 45200
7, 1.53567439958801603e+09, 72364
7, 1.53567440008824801e+09, 92812
7, 1.53567440058847094e+09, 126640
7, 1.53567440108868504e+09, 126640
